,username,date,retweets,Sentiment,favorites,text,geo,mentions,id,permalink,processed_text,hashtags,emoticons,Count,HashtagSentiment,Directed
33910,Greg_5mith,10/3/16 16:44,1,,1,"""#911truth from #911Day 200,000 Tons of Steel turned to microscopic dust.! That's A #NuclearDemolition #Hillary Trial #Trump Charge #NYC NY pic.twitter.com/i6ICmJXUgQ""",,,"""783090398042345473""",https://twitter.com/Greg_5mith/status/783090398042345473," 911truth  911day 200,000 ton steel turned microscopic dust.! that's  nucleardemolition  hillary trial  trump charge  nyc ny ",#NYC,,,,
3337,wpjenna,10/4/16 15:59,8,Negative,10,"""Donald Trump says Bill Clinton has ""gone through hell"" with Hillary Clinton on ""many nights."" http:// wpo.st/kmY22 by @WaPoSean""",,@WaPoSean,"""783441412918484992""",https://twitter.com/wpjenna/status/783441412918484992,"donald trump say bill clinton ""gone hell"" hillary clinton ""many nights.""  wpo.st/kmy22 ",,,,,
29301,amrightnow,10/1/16 16:15,2,Negative,1,"""#realdonaldtrump A Promise to Hillary #military #army #navy #usmc #airforce #veterans #trump #trumptrain #trump2016 pic.twitter.com/erNxBxzzBv""",,,"""782358377469018113""",https://twitter.com/amrightnow/status/782358377469018113, realdonaldtrump promise hillary  military  army  navy  usmc  airforce  veteran  trump  trumptrain  trump2016 ,#veterans,,,,
31186,notTheRealBob2,10/14/16 16:51,0,Positive,1,"""Things Hillary Should Bring to the Next Debate with Fascist Scumbag Trump #Debates2016 #Debate #msnbc #maddow #lastword #wadr #mtpdaily pic.twitter.com/rQjxavYs5l""",,,"""787078486448017408""",https://twitter.com/notTheRealBob2/status/787078486448017408,thing hillary bring next debate fascist scumbag trump  debates2016  debate  msnbc  maddow  lastword  wadr  mtpdaily ,#Debates2016,,,,
300,GonzaloGaitanD,10/1/16 16:27,0,,0,"""Says Hillary Clinton to Donald Trump ""By far it seemed, but up close I do not have no doubt that Donald Trump is... http:// fb.me/14mSOKUHv""",,,"""782361256502190080""",https://twitter.com/GonzaloGaitanD/status/782361256502190080,"say hillary clinton donald trump ""by far seemed, close doubt donald trump is...  fb.me/14msokuhv",,,,,
30375,cokey318,10/9/16 16:54,1,Negative,2,"""#Trump should show #women that #BillClinton raped & assaulted & #Hillary destroyed. What does he have to lose?? #IStandWithTrump #debate""",,,"""785267318100066304""",https://twitter.com/cokey318/status/785267318100066304, trump show  woman  billclinton raped & assaulted &  hillary destroyed. lose??  istandwithtrump  debate,#BillClinton,,,,
12826,_MercuryStudios,10/3/16 16:57,2,Negative,9,"""#wikileaks10 I CAN'T FUCKING WAIT..!!!!! #Wikileaks #Hillary #Trump pic.twitter.com/d13faJzRuz""",,,"""783093604130623488""",https://twitter.com/_MercuryStudios/status/783093604130623488, wikileaks10 can't fucking wait..!!!!!  wikileaks  hillary  trump ,#Trump,,,,
8904,ThJoeshadowman1,10/12/16 16:53,0,,0,"""If you're thinking about voting for Hillary or Trump , just don't vote. It'll be better that way.""",,,"""786354093316898816""",https://twitter.com/ThJoeshadowman1/status/786354093316898816,"you're thinking voting hillary trump , don't vote. it'll better way.",,,,,
7463,KillersLie,10/10/16 16:43,3,,3,"""New game is, keep Berners away from Trump at all costs. Know they won't go for Hillary so want them anywhere but crossed to trump https:// twitter.com/dr_ashok_m/sta tus/785626252212264960 äó_""",,,"""785626776378617856""",https://twitter.com/KillersLie/status/785626776378617856,"new game is, keep berners away trump costs. know won't go hillary want anywhere crossed trump  twitter.com/dr_ashok_m/sta tus/785626252212264960 í¢ŒóŒ_",,,,,
40448,Pudingtane,10/13/16 16:56,27,Negative,21,"""With Hillary as President, the SCOTUS will look something like this. VOTE TRUMP . Save YOURSELF. #tcot #ncpol #maga #tgdn #fl #pa #oh #utpol pic.twitter.com/2twEbESquO""",,,"""786717311784845313""",https://twitter.com/Pudingtane/status/786717311784845313,"hillary president, scotus look something like this. vote trump . save yourself.  tcot  ncpol  maga  tgdn  fl  pa  oh  utpol ",#oh,,,,
7034,rosea_tony,10/10/16 16:59,6,Negative,6,"""Trump had 2 massive rallies in PA. After the convention Crooked Hillary cancelled 2 rallies in PA because the crowds were too small. https:// twitter.com/truth4trump201 6/status/785625811588177920 äó_""",,,"""785630747038064640""",https://twitter.com/rosea_tony/status/785630747038064640,trump 2 massive rally pa. convention crooked hillary cancelled 2 rally pa crowd small.  twitter.com/truth4trump201 6/status/785625811588177920 í¢ŒóŒ_,,,,,
27923,sfloridastorm,10/4/16 16:43,2,,3,"""Election2016, w/ 91% U.S. not voting Trump / Hillary in the primaries, #EvanMcMullin foreign policy experience should make him write-in choice https:// twitter.com/part_timepundi t/status/783396073284968448 äó_""",,,"""783452406008934400""",https://twitter.com/sfloridastorm/status/783452406008934400,"election2016, w/ 91% u.s. voting trump / hillary primaries,  evanmcmullin foreign policy experience make write-in choice  twitter.com/part_timepundi t/status/783396073284968448 í¢ŒóŒ_",#EvanMcMullin,,,,
36040,AvadaTequiIa,10/4/16 16:00,2,,5,"""Trump 's and Hillary 's scandals have NOTHING on this whole Wolfe-Simon/NASA business #Science #PhosphateForLife #RedfieldForPresident""",,,"""783441677067362304""",https://twitter.com/AvadaTequiIa/status/783441677067362304,trump 's hillary 's scandal nothing whole wolfe-simon/nasa business  science  phosphateforlife  redfieldforpresident,#RedfieldForPresident,,,,
