,username,date,retweets,favorites,Sentiment,text,geo,mentions,id,permalink,processed_text,hashtags,emoticons,Count,HashtagSentiment,Directed
42196,JeffreyGuterman,10/1/16 15:57,9,44,Negative,"""Thanks. I never thought I'd even consider voting for #Hillary but now I am if only to keep #Trump out of the @whitehouse . Stay tuned... https:// twitter.com/puppymnkey/sta tus/782352774176444416 É""",,@whitehouse,"""782353752959414272""",https://twitter.com/JeffreyGuterman/status/782353752959414272,thanks. never thought i'd even consider voting hillary keep trump . stay tuned... twitter.com/puppymnkey/sta tus/782352774176444416 ‰€_,#Hillary,,,,
64782,MacBethSpeaks,10/10/16 16:35,58,64,Positive,"""#PodestaEmails2 Nothing but corruption from team Hillary . Disqualify her. She's an illegitimate candidate or YOU, #DNC , will elect Trump .""",,,"""785624842963865600""",https://twitter.com/MacBethSpeaks/status/785624842963865600,"podestaemails2 nothing corruption team hillary . disqualify her. she's illegitimate candidate you, dnc , elect trump .",#DNC,,,,
54957,thinkfree4life,10/4/16 16:14,0,2,Negative,"""Wow! What a sick & sad group of people. #ImWithHer #Hillary #NeverTrump #TrumpTrain #maga #Trump #VPDebate #deplorables https:// twitter.com/weneedhillary/ status/783443933951037440 É""",,,"""783445271346765825""",https://twitter.com/thinkfree4life/status/783445271346765825,wow! sick & sad group people. imwithher hillary nevertrump trumptrain maga trump vpdebate deplorables twitter.com/weneedhillary/ status/783443933951037440 ‰€_,#maga,,,,
23231,HuffPostPol,10/10/16 16:26,117,227,Negative,"""Cyndi Lauper: Donald Trump is a ""bum"" http:// huff.to/2dGMan2 pic.twitter.com/QatFaLK7ch""",,,"""785622465779212288""",https://twitter.com/HuffPostPol/status/785622465779212288,"cyndi lauper: donald trump ""bum"" huff.to/2dgman2",,,,,
38942,rossr122,10/4/16 16:18,1,2,Positive,"""#BillClinton Draws TINY Crowd Stumping For Hillary In Ohio [PHOTOS] #America #USA #STOPHillary #VoteTrump #Trump http:// dailycaller.com/2016/10/04/bil l-draws-tiny-crowd-stumping-for-hillary-in-ohio-photos/ É""",,,"""783446279447646208""",https://twitter.com/rossr122/status/783446279447646208,billclinton draw tiny crowd stumping hillary ohio [photos] america usa stophillary votetrump trump dailycaller.com/2016/10/04/bil l-draws-tiny-crowd-stumping-for-hillary-in-ohio-photos/ ‰€_,#Trump,,,,
64573,GaltsGultch,10/3/16 16:25,1,1,Positive,"""Assange Forced To Cancel HUGE Announcement After Hillary Openly Considers His Assassination #TRUMP #PTSD #TrumpFoundation #WikiLeaks""",,,"""783085534348476417""",https://twitter.com/GaltsGultch/status/783085534348476417,assange forced cancel huge announcement hillary openly considers assassination trump ptsd trumpfoundation wikileaks,#WikiLeaks,,,,
44374,ZoeParamour,10/12/16 16:29,0,1,Negative,"""Spotted in Denver kicking back with a cocktail or two. #ImWithHer #MAGA #Trump #Hillary pic.twitter.com/EYaQm9M4D2""","Denver, CO",,"""786347982954299392""",https://twitter.com/ZoeParamour/status/786347982954299392,spotted denver kicking back cocktail two. imwithher maga trump hillary,#Hillary,,,,
50088,nananb55,10/10/16 16:24,2,3,-,"""Top Evangelical Theologian Withdraws Support of Donald Trump http://www. redstate.com/joesquire/2016 /10/09/top-evangelical-theologian-withdraws-support-donald-trump/ É #tcot #ccot #NeverTrump #NeverHillary""",,,"""785622094641975296""",https://twitter.com/nananb55/status/785622094641975296,top evangelical theologian withdraws support donald trump redstate.com/joesquire/2016 /10/09/top-evangelical-theologian-withdraws-support-donald-trump/ ‰€_ tcot ccot nevertrump neverhillary,#NeverHillary,,,,
26913,clickerpete1,10/12/16 16:42,0,0,,"""BREAKING NEWS, Hillary just went to the bathroom and it doesn't smell. Trump was heard for 20 miles away and... http:// fb.me/1ofEHEtoU""",,,"""786351333033013249""",https://twitter.com/clickerpete1/status/786351333033013249,"breaking news, hillary went bathroom doesn't smell. trump heard 20 mile away and... fb.me/1ofehetou",,,,,
67699,MissLynneNYC,10/11/16 16:45,3,7,-,"""Did you know that if Hillary wins FL. .. Trump CAN'T WIN? We should contact everyone we know in FL & make sure THEY know. #MSNBC #hardball""",,,"""785989615027036160""",https://twitter.com/MissLynneNYC/status/785989615027036160,know hillary win fl. .. trump can't win? contact everyone know fl & make sure know. msnbc hardball,#hardball,,,,
